Candidats
0.5854838709677419,0.5872421695951109,Macron,#014600
0.9557503506311362,-0.44025974025974035,Fillon,#673a3f
-0.04705469845722288,-0.7190985485103133,Dupont Aignan,#d1768f
-0.17819074333800833,-0.6197860962566846,Le Pen,#004577
-0.45589060308555407,0.9653934300993126,Hamon,#c45508
-0.8261570827489482,0.22818945760122222,Melenchon,#5f9e8f
-0.8685834502103787,0.48029029793735667,Arthaud,#a13905
-0.903295932678822,0.8355233002291824,Poutou,#657432
-0.6718793828892006,-0.2645530939648586,Lassalle,#5a06ef
-0.567741935483871,-0.3218487394957983,Cheminade,#657432
-0.6371669004207574,-0.40970206264323905,Asselineau,#4f9153
